destino,producto,precio,presentacion,pMin,calidad,origen,obs,pMax
"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",Aguacate Pagua,240.00,Caja de 13 kg.,200.00,Primera,Distrito Federal,,240.00
"Quintana Roo: Mercado de Chetumal, Quintana Roo",Aguacate Pagua,295.00,Caja de 18 kg.,295.00,Primera,Distrito Federal,,295.00
"Durango: Central de Abasto ""Francisco Villa""",Aguacate Criollo,12.00,Kilogramo,12.00,Primera,Durango,,14.00
"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",Aguacate Criollo,140.00,Caja de 9 kg.,130.00,Primera,Nuevo León,,150.00
Veracruz: Mercado Malibrán,Aguacate Criollo,180.00,Caja de 18 kg.,165.00,Primera,Veracruz,,180.00
"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",Ajo Blanco # 8,40.00,Kilogramo,40.00,Primera,Distrito Federal,,60.00
Jalisco: Mercado de Abasto de Guadalajara,Ajo Blanco # 8,520.00,Caja de 10 kg.,520.00,Primera,Zacatecas,,530.00
Jalisco: Mercado Felipe Ángeles de Guadalajara,Ajo Blanco # 8,540.00,Caja de 10 kg.,540.00,Primera,Zacatecas,,540.00
"Quintana Roo: Mercado de Chetumal, Quintana Roo",Ajo Blanco # 8,50.00,Kilogramo,50.00,Primera,Distrito Federal,,50.00
Tabasco: Central de Abasto de Villahermosa,Ajo Blanco # 8,63.00,Kilogramo,63.00,Primera,Puebla,,63.00
"Baja California : Central de Abasto INDIA, Tijuana",Ajo Blanco,40.00,Kilogramo,40.00,Primera,Baja California,,40.00
Baja California Sur: Unión de Comerciantes de La Paz,Ajo Blanco,75.00,Kilogramo,75.00,Primera,Baja California,,75.00
Chiapas: Central de Abasto de Tuxtla Gutiérrez,Ajo Blanco,40.00,Kilogramo,40.00,Primera,Puebla,,50.00
"Durango: Central de Abasto ""Francisco Villa""",Ajo Blanco,75.00,Kilogramo,75.00,Primera,Guanajuato,,80.00
"Durango: Central de Abasto ""Francisco Villa""",Ajo Blanco,80.00,Kilogramo,80.00,Primera,Importación,Argentina.,90.00
Sinaloa: Central de Abasto de Culiacán,Ajo Blanco,70.00,Kilogramo,70.00,Primera,Jalisco,,70.00
Veracruz: Central de Abasto de Minatitlán,Ajo Blanco,75.00,Kilogramo,70.00,Primera,Puebla,,75.00
Veracruz: Mercado Malibrán,Ajo Blanco,75.00,Kilogramo,70.00,Primera,Puebla,,75.00
Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,Aguacate Hass,14.00,Kilogramo,13.50,Primera,Michoacán,,14.50
"Baja California : Central de Abasto INDIA, Tijuana",Aguacate Hass,140.00,Caja de 10 kg.,140.00,Primera,Michoacán,,140.00
Baja California Sur: Unión de Comerciantes de La Paz,Aguacate Hass,235.00,Caja de 10 kg.,235.00,Primera,Jalisco,,240.00
"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",Aguacate Hass,300.00,Caja de 13 kg.,280.00,Primera,Distrito Federal,,300.00
"Coahuila: Central de Abasto de La Laguna, Torreón",Aguacate Hass,162.00,Caja de 10 kg.,160.00,Primera,Michoacán,,165.00
Chiapas: Central de Abasto de Tuxtla Gutiérrez,Aguacate Hass,25.00,Kilogramo,25.00,Primera,Puebla,,30.00
Chihuahua: Mercado de Abasto de Cd. Juárez,Aguacate Hass,350.00,Caja de 19 kg.,350.00,Primera,Michoacán,,350.00
DF: Central de Abasto de Iztapalapa DF,Aguacate Hass,160.00,Caja de 10 kg.,150.00,Primera,Michoacán,,210.00
"Durango: Central de Abasto ""Francisco Villa""",Aguacate Hass,17.00,Kilogramo,16.00,Primera,Michoacán,,19.00
Durango: Centro de Distribución y Abasto de Gómez Palacio,Aguacate Hass,162.00,Caja de 10 kg.,160.00,Primera,Michoacán,,165.00
Guanajuato: Central de Abasto de León,Aguacate Hass,30.00,Kilogramo,30.00,Primera,Michoacán,,33.00
"Guanajuato: Mercado de Abasto de Celaya (""Benito Juárez"")",Aguacate Hass,22.00,Kilogramo,20.00,Primera,Michoacán,,23.00
Guanajuato: Módulo de Abasto Irapuato,Aguacate Hass,12.00,Kilogramo,12.00,Primera,Michoacán,,13.00
Guerrero: Central de Abastos de Acapulco,Aguacate Hass,20.00,Kilogramo,20.00,Primera,Michoacán,,20.00
Hidalgo: Central de Abasto de Pachuca,Aguacate Hass,480.00,Caja de 24 kg.,480.00,Primera,Michoacán,,500.00
Jalisco: Mercado de Abasto de Guadalajara,Aguacate Hass,180.00,Caja de 9 kg.,180.00,Primera,Michoacán,,185.00
Jalisco: Mercado Felipe Ángeles de Guadalajara,Aguacate Hass,195.00,Caja de 9 kg.,195.00,Primera,Michoacán,,195.00
México: Central de Abasto de Ecatepec,Aguacate Hass,410.00,Caja de 20 kg.,400.00,Primera,Michoacán,,420.00
México: Central de Abasto de Toluca,Aguacate Hass,420.00,Caja de 20 kg.,420.00,Primera,Michoacán,,440.00
Michoacán: Mercado de Abasto de Morelia,Aguacate Hass,340.00,Caja de 19 kg.,330.00,Primera,Michoacán,,340.00
Morelos: Central de Abasto de Cuautla,Aguacate Hass,320.00,Caja de 16 kg.,300.00,Primera,Michoacán,,330.00
Nayarit: Mercado de abasto 'Adolfo López Mateos' de Tepic,Aguacate Hass,25.00,Kilogramo,23.00,Primera,Michoacán,,25.00
Nayarit: Mercado de abasto 'Adolfo López Mateos' de Tepic,Aguacate Hass,200.00,Caja de 10 kg.,200.00,Primera,Michoacán,,210.00
"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",Aguacate Hass,160.00,Caja de 9 kg.,140.00,Primera,Michoacán,,160.00
Puebla: Central de Abasto de Puebla,Aguacate Hass,120.00,Caja de 10 kg.,115.00,Primera,Michoacán,,120.00
Querétaro: Mercado de Abasto de Querétaro,Aguacate Hass,19.00,Kilogramo,18.00,Primera,Michoacán,,21.00
"Quintana Roo: Mercado de Chetumal, Quintana Roo",Aguacate Hass,395.00,Caja de 14 kg.,395.00,Primera,Distrito Federal,,395.00
Quintana Roo: Módulo de Abasto Cancún,Aguacate Hass,25.00,Kilogramo,25.00,Primera,Distrito Federal,,25.00
San Luis Potosí: Centro de Abasto de San Luis Potosí,Aguacate Hass,13.00,Kilogramo,12.00,Primera,Michoacán,,14.00
Sinaloa: Central de Abasto de Culiacán,Aguacate Hass,22.00,Kilogramo,22.00,Primera,Jalisco,,22.00
Sonora: Central de Abasto de Cd. Obregón,Aguacate Hass,350.00,Caja de 15 kg.,350.00,Primera,Michoacán,"Tamaño Grande,   Tamaño mediano a $ 260.00",350.00
"Sonora: Mercado de Abasto ""Francisco I. Madero"" de Hermosillo",Aguacate Hass,19.50,Kilogramo,19.20,Primera,Michoacán,,20.00
Tabasco: Central de Abasto de Villahermosa,Aguacate Hass,200.00,Caja de 10 kg.,190.00,Primera,Michoacán,,240.00
Tamaulipas: Módulo de Abasto de Reynosa,Aguacate Hass,230.00,Caja de 10 kg.,210.00,Primera,Nuevo León,,240.00
"Tamaulipas: Módulo de Abasto de Tampico, Madero y Altamira",Aguacate Hass,600.00,Caja de 20 kg.,560.00,Primera,Michoacán,,660.00
Veracruz: Central de Abasto de Jalapa,Aguacate Hass,355.00,Caja de 18 kg.,350.00,Primera,Michoacán,,355.00
Veracruz: Central de Abasto de Minatitlán,Aguacate Hass,450.00,Caja de 18 kg.,440.00,Primera,Puebla,,450.00
Veracruz: Mercado Malibrán,Aguacate Hass,450.00,Caja de 18 kg.,445.00,Primera,Puebla,,450.00
Yucatán: Central de Abasto de Mérida,Aguacate Hass,280.00,Caja de 14 kg.,260.00,Primera,Distrito Federal,,280.00
Yucatán: Centro Mayorista Oxkutzcab,Aguacate Hass,250.00,Caja de 9 kg.,250.00,Primera,Distrito Federal,,250.00
Zacatecas: Mercado de Abasto de Zacatecas,Aguacate Hass,9.00,Kilogramo,9.00,Primera,Jalisco,,9.00
Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,Berenjena,100.00,Caja de 10 kg.,95.00,Primera,Zacatecas,,105.00
"Baja California : Central de Abasto INDIA, Tijuana",Berenjena,150.00,Caja de 17 kg.,150.00,Primera,Baja California,,150.00
"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",Berenjena,20.00,Kilogramo,18.00,Primera,Distrito Federal,,25.00
Quintana Roo: Módulo de Abasto Cancún,Berenjena,13.00,Kilogramo,13.00,Primera,Distrito Federal,,13.00
Veracruz: Central de Abasto de Jalapa,Berenjena,34.00,Kilogramo,33.00,Primera,Puebla,,34.00
Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,Ajo Morado,62.00,Kilogramo,57.00,Primera,Aguascalientes,DEL # 10,67.00
Baja California Sur: Unión de Comerciantes de La Paz,Ajo Morado,70.00,Kilogramo,70.00,Primera,Jalisco,,70.00
"Coahuila: Central de Abasto de La Laguna, Torreón",Ajo Morado,62.00,Kilogramo,60.00,Primera,Guanajuato,,65.00
DF: Central de Abasto de Iztapalapa DF,Ajo Morado,700.00,Caja de 10 kg.,680.00,Primera,Zacatecas,,760.00
"Durango: Central de Abasto ""Francisco Villa""",Ajo Morado,50.00,Kilogramo,50.00,Primera,Durango,,60.00
"Durango: Central de Abasto ""Francisco Villa""",Ajo Morado,75.00,Kilogramo,75.00,Primera,Guanajuato,,80.00
"Durango: Central de Abasto ""Francisco Villa""",Ajo Morado,85.00,Kilogramo,80.00,Primera,Importación,Argentina.,90.00
Durango: Centro de Distribución y Abasto de Gómez Palacio,Ajo Morado,63.00,Kilogramo,62.00,Primera,Guanajuato,,65.00
Guanajuato: Central de Abasto de León,Ajo Morado,40.00,Kilogramo,40.00,Primera,Guanajuato,,45.00
"Guanajuato: Mercado de Abasto de Celaya (""Benito Juárez"")",Ajo Morado,80.00,Kilogramo,70.00,Primera,Zacatecas,,80.00
Guanajuato: Módulo de Abasto Irapuato,Ajo Morado,30.00,Kilogramo,29.00,Primera,Guanajuato,,30.00
Guerrero: Central de Abastos de Acapulco,Ajo Morado,60.00,Kilogramo,60.00,Primera,Puebla,,60.00
Hidalgo: Central de Abasto de Pachuca,Ajo Morado,30.00,Kilogramo,30.00,Primera,Hidalgo,,30.00
México: Central de Abasto de Ecatepec,Ajo Morado,700.00,Caja de 10 kg.,680.00,Primera,Distrito Federal,NUMERO 8 NACIONAL,700.00
México: Central de Abasto de Toluca,Ajo Morado,750.00,Caja de 10 kg.,720.00,Primera,Importación,,750.00
Michoacán: Mercado de Abasto de Morelia,Ajo Morado,64.00,Kilogramo,63.00,Primera,Guanajuato,,64.00
Michoacán: Mercado de Abasto de Morelia,Ajo Morado,66.00,Kilogramo,65.00,Primera,Zacatecas,,66.00
Morelos: Central de Abasto de Cuautla,Ajo Morado,75.00,Kilogramo,75.00,Primera,Zacatecas,,80.00
Nayarit: Mercado de abasto 'Adolfo López Mateos' de Tepic,Ajo Morado,65.00,Kilogramo,65.00,Primera,Zacatecas,,68.00
"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",Ajo Morado,70.00,Kilogramo,70.00,Primera,Zacatecas,,80.00
Puebla: Central de Abasto de Puebla,Ajo Morado,68.00,Kilogramo,63.00,Primera,Guanajuato,,68.00
Querétaro: Mercado de Abasto de Querétaro,Ajo Morado,70.00,Kilogramo,70.00,Primera,Guanajuato,,80.00
Quintana Roo: Módulo de Abasto Cancún,Ajo Morado,45.00,Kilogramo,45.00,Primera,Distrito Federal,,45.00
San Luis Potosí: Centro de Abasto de San Luis Potosí,Ajo Morado,57.50,Kilogramo,55.00,Primera,San Luis Potosí,,60.00
San Luis Potosí: Centro de Abasto de San Luis Potosí,Ajo Morado,57.50,Kilogramo,55.00,Primera,Zacatecas,,60.00
Sinaloa: Central de Abasto de Culiacán,Ajo Morado,70.00,Kilogramo,70.00,Primera,Jalisco,,70.00
Sonora: Central de Abasto de Cd. Obregón,Ajo Morado,680.00,Caja de 14 kg.,680.00,Primera,Guanajuato,,680.00
"Sonora: Mercado de Abasto ""Francisco I. Madero"" de Hermosillo",Ajo Morado,70.00,Kilogramo,68.00,Primera,Sonora,,70.00
Tamaulipas: Módulo de Abasto de Reynosa,Ajo Morado,650.00,Caja de 10 kg.,650.00,Primera,Nuevo León,,680.00
Veracruz: Central de Abasto de Jalapa,Ajo Morado,78.00,Kilogramo,77.00,Primera,Zacatecas,,78.00
Yucatán: Central de Abasto de Mérida,Ajo Morado,60.00,Kilogramo,50.00,Primera,Distrito Federal,,60.00
Yucatán: Centro Mayorista Oxkutzcab,Ajo Morado,45.00,Kilogramo,45.00,Primera,Distrito Federal,,45.00
"Yucatán: Mercado ""Casa del Pueblo""",Ajo Morado,55.00,Kilogramo,50.00,Primera,Distrito Federal,,55.00
Zacatecas: Mercado de Abasto de Zacatecas,Ajo Morado,65.00,Kilogramo,65.00,Primera,Zacatecas,,65.00
"Baja California : Central de Abasto INDIA, Tijuana",Acelga,3.00,Manojo,3.00,Primera,Baja California,,3.00
"Coahuila: Central de Abasto de La Laguna, Torreón",Acelga,7.40,Manojo,7.00,Primera,San Luis Potosí,,7.50
Chiapas: Central de Abasto de Tuxtla Gutiérrez,Acelga,40.00,Manojo de 5 kg.,40.00,Primera,Chiapas,,45.00
DF: Central de Abasto de Iztapalapa DF,Acelga,30.00,Manojo de 5 kg.,25.00,Primera,Puebla,,35.00
"Durango: Central de Abasto ""Francisco Villa""",Acelga,3.00,Manojo,3.00,Primera,Durango,,3.00
Durango: Centro de Distribución y Abasto de Gómez Palacio,Acelga,7.40,Manojo,7.00,Primera,San Luis Potosí,,7.50
Guanajuato: Central de Abasto de León,Acelga,4.00,Manojo,4.00,Primera,Guanajuato,,5.00
"Guanajuato: Mercado de Abasto de Celaya (""Benito Juárez"")",Acelga,6.00,Manojo,6.00,Primera,Guanajuato,,7.00
Guanajuato: Módulo de Abasto Irapuato,Acelga,5.00,Manojo,4.00,Primera,Guanajuato,,5.00
Michoacán: Mercado de Abasto de Morelia,Acelga,10.00,Manojo,9.50,Primera,Guanajuato,,10.00
Michoacán: Mercado de Abasto de Morelia,Acelga,10.00,Manojo,9.50,Primera,Michoacán,,10.00
Morelos: Central de Abasto de Cuautla,Acelga,30.00,Manojo de 5 kg.,25.00,Primera,Puebla,,30.00
Nayarit: Mercado de abasto 'Adolfo López Mateos' de Tepic,Acelga,10.00,Kilogramo,10.00,Primera,Jalisco,,12.00
"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",Acelga,6.00,Manojo,5.50,Primera,Nuevo León,,7.00
"Quintana Roo: Mercado de Chetumal, Quintana Roo",Acelga,75.00,Rollo de 20 pzas.,75.00,Primera,Puebla,,75.00
Quintana Roo: Módulo de Abasto Cancún,Acelga,5.00,Manojo,5.00,Primera,Distrito Federal,,5.00
San Luis Potosí: Centro de Abasto de San Luis Potosí,Acelga,4.75,Manojo,4.50,Primera,San Luis Potosí,,5.00
Sonora: Central de Abasto de Cd. Obregón,Acelga,2.50,Manojo,2.50,Primera,Tabasco,,2.50
Tabasco: Central de Abasto de Villahermosa,Acelga,3.00,Manojo,3.00,Primera,Puebla,,4.00
Tamaulipas: Módulo de Abasto de Reynosa,Acelga,100.00,Caja de 10 kg.,90.00,Primera,Nuevo León,,100.00
Veracruz: Central de Abasto de Jalapa,Acelga,3.00,Rollo,2.50,Primera,Puebla,,3.00
Veracruz: Central de Abasto de Minatitlán,Acelga,4.00,Manojo,3.50,Primera,Puebla,,4.00
Veracruz: Mercado Malibrán,Acelga,4.00,Rollo,3.50,Primera,Puebla,,4.00
Quintana Roo: Módulo de Abasto Cancún,Calabacita regional,10.00,Kilogramo,10.00,Primera,Distrito Federal,,10.00
Yucatán: Central de Abasto de Mérida,Calabacita regional,80.00,Caja de 20 kg.,80.00,Primera,Yucatán,,90.00
Yucatán: Centro Mayorista Oxkutzcab,Calabacita regional,60.00,Caja de 20 kg.,60.00,Primera,Yucatán,,60.00
Zacatecas: Mercado de Abasto de Zacatecas,Calabacita regional,12.00,Kilogramo,12.00,Primera,Zacatecas,,12.00
Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,Cacahuate,22.00,Kilogramo,21.50,Primera,Chihuahua,,22.50
Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,Cacahuate,18.00,Kilogramo,17.50,Primera,Sinaloa,,18.50
"Baja California : Central de Abasto INDIA, Tijuana",Cacahuate,330.00,Caja de 10 kg.,330.00,Primera,Sinaloa,,330.00
"Coahuila: Central de Abasto de La Laguna, Torreón",Cacahuate,24.00,Kilogramo,23.00,Primera,Chihuahua,,24.00
"Coahuila: Central de Abasto de La Laguna, Torreón",Cacahuate,34.00,Kilogramo,32.00,Primera,Importación,,35.00
DF: Central de Abasto de Iztapalapa DF,Cacahuate,38.00,Kilogramo,36.00,Primera,Guerrero,,40.00
"Durango: Central de Abasto ""Francisco Villa""",Cacahuate,30.00,Kilogramo,30.00,Primera,Durango,,31.00
"Durango: Central de Abasto ""Francisco Villa""",Cacahuate,35.00,Kilogramo,35.00,Primera,Importación,U.S.A.,38.00
Durango: Centro de Distribución y Abasto de Gómez Palacio,Cacahuate,24.00,Kilogramo,23.00,Primera,Chihuahua,,24.00
Durango: Centro de Distribución y Abasto de Gómez Palacio,Cacahuate,31.00,Kilogramo,30.00,Primera,Importación,,32.00
"Guanajuato: Mercado de Abasto de Celaya (""Benito Juárez"")",Cacahuate,18.00,Kilogramo,16.00,Primera,Guanajuato,,18.00
Jalisco: Mercado de Abasto de Guadalajara,Cacahuate,25.00,Kilogramo,25.00,Primera,Nayarit,,26.00
Jalisco: Mercado Felipe Ángeles de Guadalajara,Cacahuate,28.00,Kilogramo,28.00,Primera,Nayarit,,28.00
México: Central de Abasto de Toluca,Cacahuate,33.00,Kilogramo,33.00,Primera,Morelos,,34.00
Michoacán: Mercado de Abasto de Morelia,Cacahuate,40.00,Kilogramo,35.00,Primera,Chihuahua,,40.00
Michoacán: Mercado de Abasto de Morelia,Cacahuate,39.00,Kilogramo,38.00,Primera,Guanajuato,,39.00
Michoacán: Mercado de Abasto de Morelia,Cacahuate,39.00,Kilogramo,38.00,Primera,Guerrero,,39.00
"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",Cacahuate,24.00,Kilogramo,23.00,Primera,Chihuahua,,25.00
"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",Cacahuate,32.00,Kilogramo,32.00,Primera,Importación,,35.00
Querétaro: Mercado de Abasto de Querétaro,Cacahuate,40.00,Kilogramo,38.00,Primera,Guanajuato,,40.00
Sonora: Central de Abasto de Cd. Obregón,Cacahuate,25.00,Kilogramo,25.00,Primera,Sonora,,25.00
"Sonora: Mercado de Abasto ""Francisco I. Madero"" de Hermosillo",Cacahuate,25.00,Kilogramo,23.00,Primera,Sonora,,25.00
Tamaulipas: Módulo de Abasto de Reynosa,Cacahuate,420.00,Costal de 11 kg.,410.00,Primera,Nuevo León,,420.00
Zacatecas: Mercado de Abasto de Zacatecas,Cacahuate,30.00,Kilogramo,30.00,Primera,Zacatecas,,30.00
Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,Apio,150.00,Caja de 30 kg.,145.00,Primera,Guanajuato,,155.00
"Baja California : Central de Abasto INDIA, Tijuana",Apio,440.00,Caja de 24 pzas.,440.00,Primera,Importación,,440.00
Baja California Sur: Unión de Comerciantes de La Paz,Apio,500.00,Caja de 24 pzas.,480.00,Primera,Jalisco,,500.00
"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",Apio,15.00,Kilogramo,10.00,Primera,Distrito Federal,,15.00
"Coahuila: Central de Abasto de La Laguna, Torreón",Apio,255.00,Caja de 24 kg.,250.00,Primera,Nuevo León,,260.00
Chiapas: Central de Abasto de Tuxtla Gutiérrez,Apio,40.00,Manojo,40.00,Primera,Puebla,,45.00
Chihuahua: Central de Abasto de Chihuahua,Apio,21.00,Kilogramo,21.00,Primera,Importación,ORIGEN E.U.A.,21.00
Chihuahua: Mercado de Abasto de Cd. Juárez,Apio,350.00,Caja de 24 pzas.,350.00,Primera,Jalisco,,350.00
DF: Central de Abasto de Iztapalapa DF,Apio,60.00,Manojo de 8 kg.,50.00,Primera,Distrito Federal,,60.00
"Durango: Central de Abasto ""Francisco Villa""",Apio,20.00,Kilogramo,19.00,Primera,Jalisco,,20.00
Durango: Centro de Distribución y Abasto de Gómez Palacio,Apio,261.00,Caja de 24 kg.,250.00,Primera,Nuevo León,,262.00
Guanajuato: Central de Abasto de León,Apio,12.00,Manojo,11.00,Primera,Guanajuato,,12.00
Guanajuato: Módulo de Abasto Irapuato,Apio,16.00,Manojo,15.00,Primera,Guanajuato,,16.00
Guerrero: Central de Abastos de Acapulco,Apio,30.00,Manojo de 2 kg.,30.00,Primera,Puebla,,30.00
Hidalgo: Central de Abasto de Pachuca,Apio,30.00,Manojo de 8 kg.,25.00,Primera,Hidalgo,,30.00
Jalisco: Mercado de Abasto de Guadalajara,Apio,265.00,Caja de 25 kg.,265.00,Primera,Guanajuato,,270.00
Jalisco: Mercado Felipe Ángeles de Guadalajara,Apio,280.00,Caja de 25 kg.,280.00,Primera,Guanajuato,,280.00
Nayarit: Mercado de abasto 'Adolfo López Mateos' de Tepic,Apio,17.00,Kilogramo,15.00,Primera,Jalisco,,17.00
"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",Apio,300.00,Caja de 25 kg.,280.00,Primera,Guanajuato,,300.00
Querétaro: Mercado de Abasto de Querétaro,Apio,10.00,Pieza,10.00,Primera,Guanajuato,,12.00
"Quintana Roo: Mercado de Chetumal, Quintana Roo",Apio,70.00,Rollo,70.00,Primera,Distrito Federal,,70.00
Quintana Roo: Módulo de Abasto Cancún,Apio,12.00,Kilogramo,12.00,Primera,Distrito Federal,,12.00
San Luis Potosí: Centro de Abasto de San Luis Potosí,Apio,9.50,Pieza,9.00,Primera,San Luis Potosí,,10.00
Sinaloa: Central de Abasto de Culiacán,Apio,17.00,Kilogramo,17.00,Primera,Jalisco,,17.00
Sonora: Central de Abasto de Cd. Obregón,Apio,330.00,Caja de 24 kg.,330.00,Primera,Jalisco,,330.00
"Sonora: Mercado de Abasto ""Francisco I. Madero"" de Hermosillo",Apio,350.00,Caja de 20 kg.,350.00,Primera,Importación,,380.00
Tabasco: Central de Abasto de Villahermosa,Apio,40.00,Manojo,35.00,Primera,Puebla,,40.00
Tamaulipas: Módulo de Abasto de Reynosa,Apio,220.00,Caja de 24 kg.,210.00,Primera,Nuevo León,,240.00
Veracruz: Mercado Malibrán,Apio,50.00,Rollo,45.00,Primera,Puebla,,50.00
Yucatán: Centro Mayorista Oxkutzcab,Apio,70.00,Rollo,70.00,Primera,Distrito Federal,,70.00
Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,Calabacita Italiana,70.00,Caja de 14 kg.,65.00,Primera,Aguascalientes,,75.00
Baja California Sur: Unión de Comerciantes de La Paz,Calabacita Italiana,12.00,Kilogramo,12.00,Primera,Baja California Sur,,12.00
"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",Calabacita Italiana,240.00,Caja de 20 kg.,200.00,Primera,Distrito Federal,,240.00
Chiapas: Central de Abasto de Tuxtla Gutiérrez,Calabacita Italiana,11.00,Kilogramo,11.00,Primera,Puebla,,15.00
DF: Central de Abasto de Iztapalapa DF,Calabacita Italiana,100.00,Caja de 25 kg.,90.00,Primera,Hidalgo,,130.00
Guanajuato: Central de Abasto de León,Calabacita Italiana,140.00,Caja de 20 kg.,140.00,Primera,Jalisco,,150.00
"Guanajuato: Mercado de Abasto de Celaya (""Benito Juárez"")",Calabacita Italiana,180.00,Caja de 26 kg.,150.00,Primera,Guanajuato,,180.00
Guanajuato: Módulo de Abasto Irapuato,Calabacita Italiana,8.00,Kilogramo,7.00,Primera,Guanajuato,,8.00
Guerrero: Central de Abastos de Acapulco,Calabacita Italiana,7.00,Kilogramo,7.00,Primera,Puebla,,7.00
Hidalgo: Central de Abasto de Pachuca,Calabacita Italiana,150.00,Caja de 25 kg.,120.00,Primera,México,,150.00
Jalisco: Mercado de Abasto de Guadalajara,Calabacita Italiana,85.00,Caja de 11 kg.,85.00,Primera,Baja California,SELECCIONADA,88.00
Jalisco: Mercado de Abasto de Guadalajara,Calabacita Italiana,155.00,Caja de 20 kg.,155.00,Primera,Baja California,"SELECCIONADA,CAJA DE CARTÓN",160.00
Jalisco: Mercado de Abasto de Guadalajara,Calabacita Italiana,75.00,Caja de 15 kg.,75.00,Primera,Jalisco,,80.00
Jalisco: Mercado Felipe Ángeles de Guadalajara,Calabacita Italiana,98.00,Caja de 11 kg.,98.00,Primera,Baja California,SELECCIONADA,98.00
Jalisco: Mercado Felipe Ángeles de Guadalajara,Calabacita Italiana,170.00,Caja de 20 kg.,170.00,Primera,Baja California,"SELECCIONADA,CAJA DE CARTÓN",170.00
Jalisco: Mercado Felipe Ángeles de Guadalajara,Calabacita Italiana,90.00,Caja de 15 kg.,90.00,Primera,Jalisco,,90.00
México: Central de Abasto de Ecatepec,Calabacita Italiana,160.00,Caja de 25 kg.,160.00,Primera,Distrito Federal,HIBRIDA,170.00
México: Central de Abasto de Toluca,Calabacita Italiana,140.00,Caja de 28 kg.,120.00,Primera,Hidalgo,,140.00
Michoacán: Mercado de Abasto de Morelia,Calabacita Italiana,260.00,Caja de 23 kg.,250.00,Primera,Michoacán,,260.00
Morelos: Central de Abasto de Cuautla,Calabacita Italiana,100.00,Caja de 25 kg.,100.00,Primera,Morelos,,120.00
Nayarit: Mercado de abasto 'Adolfo López Mateos' de Tepic,Calabacita Italiana,13.00,Kilogramo,12.00,Primera,Jalisco,,13.00
Nayarit: Mercado de abasto 'Adolfo López Mateos' de Tepic,Calabacita Italiana,130.00,Caja de 14 kg.,110.00,Primera,Jalisco,,140.00
"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",Calabacita Italiana,100.00,Caja de 14 kg.,100.00,Primera,Nuevo León,,120.00
Puebla: Central de Abasto de Puebla,Calabacita Italiana,140.00,Caja de 15 kg.,135.00,Primera,Morelos,,140.00
Querétaro: Mercado de Abasto de Querétaro,Calabacita Italiana,130.00,Caja de 25 kg.,130.00,Primera,Hidalgo,,140.00
"Quintana Roo: Mercado de Chetumal, Quintana Roo",Calabacita Italiana,395.00,Caja de 25 kg.,395.00,Primera,Distrito Federal,,395.00
Quintana Roo: Módulo de Abasto Cancún,Calabacita Italiana,11.00,Kilogramo,11.00,Primera,Distrito Federal,,11.00
San Luis Potosí: Centro de Abasto de San Luis Potosí,Calabacita Italiana,115.00,Caja de 20 kg.,110.00,Primera,San Luis Potosí,,120.00
San Luis Potosí: Centro de Abasto de San Luis Potosí,Calabacita Italiana,115.00,Caja de 20 kg.,110.00,Primera,Zacatecas,,120.00
Sinaloa: Central de Abasto de Culiacán,Calabacita Italiana,10.00,Kilogramo,10.00,Primera,Jalisco,,10.00
Sonora: Central de Abasto de Cd. Obregón,Calabacita Italiana,100.00,Caja de 12 kg.,100.00,Primera,Baja California,,100.00
"Sonora: Mercado de Abasto ""Francisco I. Madero"" de Hermosillo",Calabacita Italiana,100.00,Caja de 12 kg.,90.00,Primera,Sonora,,100.00
Tabasco: Central de Abasto de Villahermosa,Calabacita Italiana,100.00,Caja de 15 kg.,90.00,Primera,Puebla,,100.00
Tamaulipas: Módulo de Abasto de Reynosa,Calabacita Italiana,140.00,Caja de 10 kg.,130.00,Primera,Nuevo León,,140.00
Veracruz: Central de Abasto de Jalapa,Calabacita Italiana,140.00,Caja de 16 kg.,140.00,Primera,Veracruz,,145.00
Veracruz: Central de Abasto de Minatitlán,Calabacita Italiana,140.00,Caja de 14 kg.,135.00,Primera,Puebla,,140.00
